  commons: 147,709 onsets / 183 participants
  boost: 15,961 onsets / 16 participants
  corpora (training source): 359,419 onsets / 1807 participants
    commons/severe/h10 logistic_cost_shape          -0.0177 [-0.0217, -0.0137] ahead on 41/183 participants -- distinguishable, negative
    commons/severe/h10 shipping_shape_over_clock    +0.0098 [+0.0065, +0.0135] ahead on 107/183 participants -- distinguishable, positive
    boost/severe/h10 within_clock               AUC 0.6905 [0.6707, 0.7081]
    boost/severe/h10 external_clock             AUC 0.7198 [0.6925, 0.7448]
    boost/severe/h10 external_clock_logistic    AUC 0.7188 [0.6899, 0.7455]
    boost/severe/h10 within_shape               AUC 0.7363 [0.7197, 0.7532]
    boost/severe/h10 external_shape             AUC 0.7601 [0.7340, 0.7864]
    boost/severe/h10 external_shape_logistic    AUC 0.7386 [0.7126, 0.7624]
    boost/severe/h10 external_shape_over_clock    +0.0403 [+0.0293, +0.0615] ahead on 16/16 participants -- distinguishable, positive
    boost/severe/h10 within_shape_over_clock      +0.0458 [+0.0315, +0.0708] ahead on 14/16 participants -- distinguishable, positive
    boost/severe/h10 transfer_cost_clock          +0.0293 [+0.0166, +0.0418] ahead on 13/16 participants -- distinguishable, positive
    boost/severe/h10 transfer_cost_shape          +0.0238 [+0.0122, +0.0371] ahead on 13/16 participants -- distinguishable, positive
    boost/severe/h10 logistic_cost_clock          -0.0010 [-0.0061, +0.0023] ahead on 5/16 participants -- UNPROVEN
    boost/severe/h10 logistic_cost_shape          -0.0215 [-0.0353, -0.0143] ahead on 1/16 participants -- distinguishable, negative
    boost/severe/h10 shipping_shape_over_clock    +0.0198 [+0.0119, +0.0341] ahead on 15/16 participants -- distinguishable, positive
    commons/severe/h20 within_clock               AUC 0.7672 [0.7539, 0.7805]
    commons/severe/h20 external_clock             AUC 0.7705 [0.7563, 0.7833]
    commons/severe/h20 external_clock_logistic    AUC 0.7729 [0.7590, 0.7860]
    commons/severe/h20 within_shape               AUC 0.8100 [0.7997, 0.8201]
    commons/severe/h20 external_shape             AUC 0.8091 [0.7983, 0.8192]
    commons/severe/h20 external_shape_logistic    AUC 0.7863 [0.7737, 0.7984]
    commons/severe/h20 external_shape_over_clock    +0.0386 [+0.0331, +0.0453] ahead on 141/183 participants -- distinguishable, positive
    commons/severe/h20 within_shape_over_clock      +0.0428 [+0.0365, +0.0500] ahead on 138/183 participants -- distinguishable, positive
    commons/severe/h20 transfer_cost_clock          +0.0033 [-0.0007, +0.0064] ahead on 84/183 participants -- UNPROVEN
    commons/severe/h20 transfer_cost_shape          -0.0009 [-0.0040, +0.0015] ahead on 67/183 participants -- UNPROVEN
    commons/severe/h20 logistic_cost_clock          +0.0024 [+0.0009, +0.0042] ahead on 89/183 participants -- distinguishable, positive
    commons/severe/h20 logistic_cost_shape          -0.0228 [-0.0273, -0.0182] ahead on 36/183 participants -- distinguishable, negative
    commons/severe/h20 shipping_shape_over_clock    +0.0134 [+0.0098, +0.0176] ahead on 120/183 participants -- distinguishable, positive
    boost/severe/h20 within_clock               AUC 0.6871 [0.6666, 0.7053]
    boost/severe/h20 external_clock             AUC 0.7164 [0.6885, 0.7425]
    boost/severe/h20 external_clock_logistic    AUC 0.7154 [0.6855, 0.7435]
    boost/severe/h20 within_shape               AUC 0.7478 [0.7336, 0.7642]
    boost/severe/h20 external_shape             AUC 0.7671 [0.7427, 0.7934]
    boost/severe/h20 external_shape_logistic    AUC 0.7372 [0.7139, 0.7596]
    boost/severe/h20 external_shape_over_clock    +0.0507 [+0.0384, +0.0738] ahead on 16/16 participants -- distinguishable, positive
    boost/severe/h20 within_shape_over_clock      +0.0607 [+0.0439, +0.0858] ahead on 16/16 participants -- distinguishable, positive
    boost/severe/h20 transfer_cost_clock          +0.0293 [+0.0160, +0.0421] ahead on 13/16 participants -- distinguishable, positive
    boost/severe/h20 transfer_cost_shape          +0.0193 [+0.0044, +0.0352] ahead on 10/16 participants -- distinguishable, positive
    boost/severe/h20 logistic_cost_clock          -0.0009 [-0.0062, +0.0023] ahead on 5/16 participants -- UNPROVEN
    boost/severe/h20 logistic_cost_shape          -0.0299 [-0.0452, -0.0225] ahead on 0/16 participants -- distinguishable, negative
    boost/severe/h20 shipping_shape_over_clock    +0.0218 [+0.0124, +0.0356] ahead on 14/16 participants -- distinguishable, positive
written c4_fall_prior_ship.json
C4_EXIT=0
